original_vido_id video_id frame_id path labels
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 0 20180307_5_6mbar_500fps_NS72_000043.png ""
NS72 1 1 20180307_5_6mbar_500fps_NS72_000044.png ""
NS72 1 1 20180307_5_6mbar_500fps_NS72_000044.png ""
NS72 1 1 20180307_5_6mbar_500fps_NS72_000044.png ""
NS72 1 1 20180307_5_6mbar_500fps_NS72_000044.png ""
NS72 1 2 20180307_5_6mbar_500fps_NS72_000045.png ""
NS72 1 2 20180307_5_6mbar_500fps_NS72_000045.png ""
NS72 1 2 20180307_5_6mbar_500fps_NS72_000045.png ""
NS72 1 2 20180307_5_6mbar_500fps_NS72_000045.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 3 20180307_5_6mbar_500fps_NS72_000046.png ""
NS72 1 4 20180307_5_6mbar_500fps_NS72_000047.png ""
NS72 1 4 20180307_5_6mbar_500fps_NS72_000047.png ""
NS72 1 4 20180307_5_6mbar_500fps_NS72_000047.png ""
NS72 1 4 20180307_5_6mbar_500fps_NS72_000047.png ""
NS72 1 5 20180307_5_6mbar_500fps_NS72_000048.png ""
NS72 1 5 20180307_5_6mbar_500fps_NS72_000048.png ""
NS72 1 5 20180307_5_6mbar_500fps_NS72_000048.png ""
NS72 1 6 20180307_5_6mbar_500fps_NS72_000049.png ""
NS72 1 6 20180307_5_6mbar_500fps_NS72_000049.png ""
NS72 1 6 20180307_5_6mbar_500fps_NS72_000049.png ""
NS72 1 6 20180307_5_6mbar_500fps_NS72_000049.png ""
NS72 1 6 20180307_5_6mbar_500fps_NS72_000049.png ""
NS72 1 7 20180307_5_6mbar_500fps_NS72_000050.png ""
NS72 1 7 20180307_5_6mbar_500fps_NS72_000050.png ""
NS72 1 7 20180307_5_6mbar_500fps_NS72_000050.png ""
NS72 1 7 20180307_5_6mbar_500fps_NS72_000050.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 8 20180307_5_6mbar_500fps_NS72_000051.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 9 20180307_5_6mbar_500fps_NS72_000052.png ""
NS72 1 10 20180307_5_6mbar_500fps_NS72_000053.png ""
NS72 1 10 20180307_5_6mbar_500fps_NS72_000053.png ""
NS72 1 10 20180307_5_6mbar_500fps_NS72_000053.png ""
NS72 1 10 20180307_5_6mbar_500fps_NS72_000053.png ""
NS72 1 11 20180307_5_6mbar_500fps_NS72_000054.png ""
NS72 1 11 20180307_5_6mbar_500fps_NS72_000054.png ""
NS72 1 11 20180307_5_6mbar_500fps_NS72_000054.png ""
NS72 1 11 20180307_5_6mbar_500fps_NS72_000054.png ""
NS72 1 12 20180307_5_6mbar_500fps_NS72_000055.png ""
NS72 1 12 20180307_5_6mbar_500fps_NS72_000055.png ""
NS72 1 12 20180307_5_6mbar_500fps_NS72_000055.png ""
NS72 1 12 20180307_5_6mbar_500fps_NS72_000055.png ""
NS72 1 13 20180307_5_6mbar_500fps_NS72_000056.png ""
NS72 1 13 20180307_5_6mbar_500fps_NS72_000056.png ""
NS72 1 13 20180307_5_6mbar_500fps_NS72_000056.png ""
NS72 1 13 20180307_5_6mbar_500fps_NS72_000056.png ""
NS72 1 13 20180307_5_6mbar_500fps_NS72_000056.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 14 20180307_5_6mbar_500fps_NS72_000057.png ""
NS72 1 15 20180307_5_6mbar_500fps_NS72_000058.png ""
NS72 1 15 20180307_5_6mbar_500fps_NS72_000058.png ""
NS72 1 15 20180307_5_6mbar_500fps_NS72_000058.png ""
