NS72,0,0.5875,0,0.73,0.18,1,1
NS72,0,0,0.073333333,0.385,0.506666667,1,1
NS72,0,0.23,0.566666667,0.27375,0.593333333,1,1
NS72,0,0.27875,0.566666667,0.33625,0.593333333,1,1
NS72,0,0.42625,0.573333333,0.58125,0.606666667,1,1
NS72,0,0.5825,0.58,0.60375,0.606666667,1,1
NS72,0,0.1375,0.58,0.67375,0.606666667,1,1
NS72,0,0.70625,0.58,0.8025,0.613333333,1,1
NS72,0,0.92875,0.953333333,0.94625,1,1,1
NS72,1,0.59125,0,0.725,0.193333333,1,1
NS72,1,0,0.073333333,0.85875,0.506666667,1,1
NS72,1,0.1375,0.56,1,1,1,1
NS72,1,0.9325,0.96,0.94625,1,1,1
NS72,2,0.005,0,0.02125,0.04,1,1
NS72,2,0.59,0,0.7275,0.193333333,1,1
NS72,2,0,0.073333333,0.86,0.5,1,1
NS72,2,0.135,0.56,1,1,1,1
NS72,3,0.005,0,0.02125,0.04,1,1
NS72,3,0.59,0,0.7275,0.193333333,1,1
NS72,3,0,0.073333333,0.85875,0.506666667,1,1
NS72,3,0.15125,0.566666667,0.21625,0.593333333,1,1
NS72,3,0.22375,0.566666667,0.6075,0.606666667,1,1
NS72,3,0.13375,0.573333333,0.6875,0.606666667,1,1
NS72,4,0.595,0,0.72375,0.213333333,1,1
NS72,4,0,0.066666667,0.85875,0.5,1,1
NS72,4,0.1475,0.566666667,0.16875,0.593333333,1,1
NS72,4,0.1375,0.566666667,1,1,1,1
NS72,5,0.59375,0,0.72125,0.193333333,1,1
NS72,5,0,0.066666667,0.85875,0.5,1,1
NS72,5,0.1375,0.56,1,1,1,1
NS72,6,0.59,0,0.72375,0.2,1,1
NS72,6,0,0.066666667,0.86,0.506666667,1,1
NS72,6,0.67,0.506666667,0.6925,0.526666667,1,1
NS72,6,0.13625,0.566666667,1,1,1,1
NS72,6,0.93125,0.96,0.94625,1,1,1
NS72,7,0.5925,0,0.7275,0.2,1,1
NS72,7,0,0.066666667,0.85875,0.506666667,1,1
NS72,7,0.16625,0.566666667,0.3375,0.6,1,1
NS72,7,0.13375,0.566666667,1,1,1,1
NS72,8,0.5875,0,0.73,0.186666667,1,1
NS72,8,0,0.073333333,0.3825,0.506666667,1,1
NS72,8,0.67125,0.506666667,0.69375,0.533333333,1,1
NS72,8,0.2375,0.566666667,0.305,0.593333333,1,1
NS72,8,0.45125,0.573333333,0.55625,0.6,1,1
NS72,8,0.5625,0.58,0.605,0.606666667,1,1
NS72,8,0.13375,0.58,0.67,0.606666667,1,1
NS72,8,0.71125,0.586666667,0.795,0.613333333,1,1
